Country_Code,Country,Region,Year,Indicator_Name,Indicator_Code,Value,Source
BRA,Brazil,Latin America,2022,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.61922979354858,World Bank
BRA,Brazil,Latin America,2022,GNI per Capita,NY.GNP.PCAP.CD,8440.0,World Bank
BRA,Brazil,Latin America,2022,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,6127990000.0,World Bank
BRA,Brazil,Latin America,2022,Population,SP.POP.TOTL,210306415.0,World Bank
BRA,Brazil,Latin America,2023,GNI per Capita,NY.GNP.PCAP.CD,9310.0,World Bank
BRA,Brazil,Latin America,2023,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,3845070000.0,World Bank
BRA,Brazil,Latin America,2023,Population,SP.POP.TOTL,211140729.0,World Bank
BRA,Brazil,Latin America,2024,GNI per Capita,NY.GNP.PCAP.CD,9930.0,World Bank
BRA,Brazil,Latin America,2024,Population,SP.POP.TOTL,211998573.0,World Bank
CHL,Chile,Latin America,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.473060131073,World Bank
CHL,Chile,Latin America,2018,GNI per Capita,NY.GNP.PCAP.CD,14460.0,World Bank
CHL,Chile,Latin America,2018,Population,SP.POP.TOTL,18893191.0,World Bank
CHL,Chile,Latin America,2018,Railway Infrastructure,IS.RRS.TOTL.KM,2396.0,World Bank
CHL,Chile,Latin America,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.62630987167358,World Bank
CHL,Chile,Latin America,2019,GNI per Capita,NY.GNP.PCAP.CD,14690.0,World Bank
CHL,Chile,Latin America,2019,Population,SP.POP.TOTL,19197744.0,World Bank
CHL,Chile,Latin America,2019,Railway Infrastructure,IS.RRS.TOTL.KM,2396.0,World Bank
CHL,Chile,Latin America,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.62993001937866,World Bank
CHL,Chile,Latin America,2020,GNI per Capita,NY.GNP.PCAP.CD,12960.0,World Bank
CHL,Chile,Latin America,2020,Population,SP.POP.TOTL,19370624.0,World Bank
CHL,Chile,Latin America,2020,Railway Infrastructure,IS.RRS.TOTL.KM,2396.0,World Bank
CHL,Chile,Latin America,2021,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.99923992156982,World Bank
CHL,Chile,Latin America,2021,GNI per Capita,NY.GNP.PCAP.CD,14790.0,World Bank
CHL,Chile,Latin America,2021,Population,SP.POP.TOTL,19456334.0,World Bank
CHL,Chile,Latin America,2021,Railway Infrastructure,IS.RRS.TOTL.KM,2396.0,World Bank
CHL,Chile,Latin America,2022,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.89753007888794,World Bank
CHL,Chile,Latin America,2022,GNI per Capita,NY.GNP.PCAP.CD,15440.0,World Bank
CHL,Chile,Latin America,2022,Population,SP.POP.TOTL,19553036.0,World Bank
CHL,Chile,Latin America,2023,GNI per Capita,NY.GNP.PCAP.CD,15950.0,World Bank
CHL,Chile,Latin America,2023,Population,SP.POP.TOTL,19658835.0,World Bank
CHL,Chile,Latin America,2024,GNI per Capita,NY.GNP.PCAP.CD,15750.0,World Bank
CHL,Chile,Latin America,2024,Population,SP.POP.TOTL,19764771.0,World Bank
COL,Colombia,Latin America,2018,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.44910001754761,World Bank
COL,Colombia,Latin America,2018,GNI per Capita,NY.GNP.PCAP.CD,6350.0,World Bank
COL,Colombia,Latin America,2018,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,78000000.0,World Bank
COL,Colombia,Latin America,2018,Population,SP.POP.TOTL,49024465.0,World Bank
COL,Colombia,Latin America,2019,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,4.51069021224976,World Bank
COL,Colombia,Latin America,2019,GNI per Capita,NY.GNP.PCAP.CD,6630.0,World Bank
COL,Colombia,Latin America,2019,Infrastructure Investment (Energy),IE.PPI.ENGY.CD,165200000.0,World Bank
COL,Colombia,Latin America,2019,Population,SP.POP.TOTL,49907985.0,World Bank
COL,Colombia,Latin America,2020,Education Expenditure (% of GDP),SE.XPD.TOTL.GD.ZS,5.26166009902954,World Bank
COL,Colombia,Latin America,2020,GNI per Capita,NY.GNP.PCAP.CD,5850.0,World Bank
